제목,개요,효과,썸네일,난이도,자세분류,부위
"벤치 프레스 - 바벨, 디클라인","벤치 프레스, 인클라인 벤치 프레스와 더불어 실시하는 운동으로 대흉근의 아랫부분을 발달시켜 보다 완성도 높은 대흉근의 모양을 만들어준다. 벤치의 각도는 30~45도가 적당하다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140244169_SGY0C3S6J.jpg/WEIGHT_027_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
아래팔 운동,"전완은 아래팔을 뜻한다. 일반적으로 단련하는 운동 부위가 아니라 다소 생소하게 느낄 수도 있지만 전완근 운동은  아귀 힘을 키우는 데 가장 기본적이다. 야구, 골프 등의 스포츠에 많이 사용되는 근육이므로 이 분야 운동을 즐기는 사람들이라면, 반드시 단련해야 할 근육이다. 손바닥이 위쪽을 향한 상태에서 손목부터 팔꿈치 앞쪽에 있는 근육들을 ‘전완 굴곡근(수지굴근)’이라고 하며, 손목을 안쪽으로 굽히는 작용을 한다. 전완 굴곡근 강화 운동에는 바벨 리스트 컬, 덤벨 리스트 컬 등이 있다.손등이 위로 향한 상태에서 손목부터 팔꿈치 앞쪽에 있는 근육들은 ‘전완 신전군(수지신근)’이라고 하며, 손등이 위로 향한 상태에서 손목을 팔꿈치 쪽으로 올리는 작용을 한다. 운동법에는 리버스 바벨 리스트 컬, 리버스 덤벨 리스트 컬 등이 있다. 그 외 전완 강화 운동으로 덤벨 프로네이션, 덤벨 슈피네이션 운동이 있으며, 가벼운 중량으로 전완과 상완을 함께 단련하는 조트맨 컬 등이 있다.",,,,,아래팔
,,,,,,
위팔 뒤 운동,"팔 윗부분 뒤쪽에 있는 삼두근은 근육의 머릿 부분이 세 갈래로 나뉘어져 있어 이렇게 이름 붙여졌으며, 주로 팔꿈치를 축으로 팔을 펴는 기능을 한다. 운동법에 따라 조금씩 다른 부위에 작용한다. 바벨 운동에는 라잉 트라이셉스 익스텐션, 클로즈 그립 벤치 프레스 등이 있고, 케이블 이용한 운동에는 트라이셉스 프레스 다운이 있다. 덤벨 운동에는 라잉 덤벨 트라이셉스 익스텐션, 오버헤드 덤벨 트라이셉스 익스텐션, 원 암 덤벨 트라이셉스 익스텐션 등이 있으며, 벤치나 의자를 이용한 벤치 딥스 등이 있다.상완삼두근은 작은 근육으로 큰 근육을 운동할 때보다 더 큰 고통을 수반하기 때문에 인내력을 필요로 한다. 상완삼두근을 강화시켜 두면 테니스 엘보우 등과 같은 상해를 예방할 수 있다.",,,,,위팔 뒤
,,,,,,
비하인드 넥 프레스 - 바벨,바가 목 뒤로 넘어가도록 동작하여 전면 삼각근만을 고립시켜 선택적으로 자극을 가하는 운동이다. 어깨 관절 운동 범위의 한계점에서 동작하기 때문에 자세의 유지는 쉬우나 그만큼 상해의 위험성이 크다. 스미스 머신 비하인드 넥 프레스에 비해 안정성은 많이 떨어지나 전후 방향의 자극에 추가적으로 저항하게 되어 근육 발달의 효과는 크다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140305076_9PTB10GQS.jpg/WEIGHT_039_pic_1.jpg?type=w492_fst&wm=N,상급,,어깨
,,,,,,
풀업 - 어시스티드,머신의 플레이트 무게만큼 체중의 부담을 줄여서 할 수 있는 턱걸이 운동이다. 등 근육을 넓게 만들어주는 운동으로서 특히 광배근의 근력이 약한 사람에게 필수적인 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140442291_EMKV9J8JD.jpg/WEIGHT_078_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
버피 테스트,"짧은 시간 안에 운동 효과를 극대화할 수 있는 유산소성 근력 운동이다. 원래 체력 테스트 목적으로 만들어진 운동이나 전신 집중 운동으로 새롭게 주목 받고 있다. 운동선수들의 체력 향상을 위한 필수 운동인 만큼 운동 강도도 높고, 또 그만큼 운동 효과도 크다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110916744_VVPP7B4YE.jpg/WEIGHT_131_pic_1.jpg?type=w492_fst&wm=N,중급,,전신
,,,,,,
"로우 - 덤벨, 벤트 오버",가동 범위가 넓어 몸의 중심선(척추)에 가까운 등의 근육까지 발달시킬 수 있는 운동이다. 허리 근육이 약할 경우 인클라인 벤치에 엎드린 상태에서 동작을 실시하면 부담을 줄일 수 있다. 한 방향씩 실시하면 동작의 가동 범위를 넓힐 수 있고 목표 근육에 자극을 증가시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140428824_559UAS0D9.jpg/WEIGHT_074_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
가슴 운동,"우리가 쉽게 가슴근육이라고 하는 대흉근은 상부, 중앙, 하부 총 3가지 부위로 나뉘며, 그에 따라 운동법도 조금씩 차이가 있다. 대흉근의 상부를 발달시키기 위해서는 인클라인 바벨 벤치 프레스가 효과적이며 대흉근의 중앙을 발달시키기 위해서는 프리웨이트 운동인 바벨 벤치 프레스, 기구를 이용한 머신 벤치 프레스를 실시하며 대흉근의 하부를 발달시키기 위해서는 디클라인 바벨 벤치 프레스를 실시하는 것이 도움이 된다.대흉근의 바깥쪽 부분을 발달시키기 위해서는 바벨에 비해 상대적으로 관절의 가동범위가 더 많이 나오는 덤벨을 이용하여 덤벨 벤치 프레스, 인클라인 덤벨 벤치 프레스, 디클라인 덤벨 벤치 프레스를 실시하면 운동의 효과를 극대화할 수 있다. 대흉근의 안쪽 부분을 발달시키기 위해서는 머신 펙 덱 플라이, 덤벨 플라이, 인클라인 덤벨 플라이 등을 실시한다.근육의 데피니션(definition, 선명도)을 강화하기 위해서 케이블 크로스 오버 등을 실시할 수 있다. 이 밖에도 가슴과 등의 협응을 통해 이루어지는 덤벨 풀 오버가 있고, 대흉근 전체에 자극을 주는 운동법으로 딥스, 푸시업 등이 있다.",,,,,가슴
,,,,,,
카프 레이즈 - 싱글 레그,약한 쪽 종아리를 운동함으로써 양쪽 발의 균형을 맞추는 데 유용한 운동이다. 장소에 구애 받지 않고 어디서나 쉽게 할 수 있다는 장점이 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140555804_QAZF6TEH0.jpg/WEIGHT_111_pic_1.jpg?type=w492_fst&wm=N,초급,,종아리
,,,,,,
"로우 - 덤벨, 벤트 오버",가동 범위가 넓어 몸의 중심선(척추)에 가까운 등의 근육까지 발달시킬 수 있는 운동이다. 허리 근육이 약할 경우 인클라인 벤치에 엎드린 상태에서 동작을 실시하면 부담을 줄일 수 있다. 한 방향씩 실시하면 동작의 가동 범위를 넓힐 수 있고 목표 근육에 자극을 증가시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140428824_559UAS0D9.jpg/WEIGHT_074_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
가슴 운동,"우리가 쉽게 가슴근육이라고 하는 대흉근은 상부, 중앙, 하부 총 3가지 부위로 나뉘며, 그에 따라 운동법도 조금씩 차이가 있다. 대흉근의 상부를 발달시키기 위해서는 인클라인 바벨 벤치 프레스가 효과적이며 대흉근의 중앙을 발달시키기 위해서는 프리웨이트 운동인 바벨 벤치 프레스, 기구를 이용한 머신 벤치 프레스를 실시하며 대흉근의 하부를 발달시키기 위해서는 디클라인 바벨 벤치 프레스를 실시하는 것이 도움이 된다.대흉근의 바깥쪽 부분을 발달시키기 위해서는 바벨에 비해 상대적으로 관절의 가동범위가 더 많이 나오는 덤벨을 이용하여 덤벨 벤치 프레스, 인클라인 덤벨 벤치 프레스, 디클라인 덤벨 벤치 프레스를 실시하면 운동의 효과를 극대화할 수 있다. 대흉근의 안쪽 부분을 발달시키기 위해서는 머신 펙 덱 플라이, 덤벨 플라이, 인클라인 덤벨 플라이 등을 실시한다.근육의 데피니션(definition, 선명도)을 강화하기 위해서 케이블 크로스 오버 등을 실시할 수 있다. 이 밖에도 가슴과 등의 협응을 통해 이루어지는 덤벨 풀 오버가 있고, 대흉근 전체에 자극을 주는 운동법으로 딥스, 푸시업 등이 있다.",,,,,가슴
,,,,,,
"벤치 프레스 - 바벨, 클로즈 그립","상완삼두근의 전체적인 크기를 키우기 위한 운동이다. 다른 삼두근 운동에 비해 무거운 중량을 들 수 있는 장점이 있고, 허리와 등의 부담을 최소화시켜 서서 하는 동작보다 비교적 안정적으로 실시할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140355310_8U0NVDJ01.jpg/WEIGHT_063_pic_1.jpg?type=w492_fst&wm=N,중급,,위팔 뒤
,,,,,,
쉬러그 - 덤벨,승모근 상부를 발달시키기 위한 운동이다. 승모근은 높은 중량에 반응하여 발달하므로 고중량을 이용해 운동하도록 한다. 어깨너비나 근육에 비해 지나치게 발달하게 되면 산 모양의 어깨를 형성하게 되므로 운동량을 조절할 필요가 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140319478_N03GJYZI4.jpg/WEIGHT_046_pic_1.jpg?type=w492_fst&wm=N,초급,,어깨
,,,,,,
로우 - 티바,등 근육의 중간부와 외측을 발달시키는 운동이다. 지지대의 위치를 조절해 손의 위치를 달리함으로써 목표로 하는 근육을 바꿀 수 있다. 지지대가 있어 허리의 부담 없이 벤트 오버 바벨 로우와 거의 동일한 효과를 얻을 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140437848_LC8X66POV.jpg/WEIGHT_077_pic_1.jpg?type=w492_fst&wm=N,중급,,등
,,,,,,
복부 운동,"복근은 내장을 보호하고 허리를 강화시키는 근육으로 크게 복직근, 내복사근, 외복사근으로 나눌 수 있다. 남녀 불문하고 몸매를 다듬는 데 가장 주요한 운동 부위이지만, 의외로 잘못된 운동법을 알고 있는 경우가 많다. 가장 많이 하는 실수가 복근이 아닌 다른 근육을 긴장하는 것이다. 복근 운동을 하고 난 다음 목이나 어깨 쪽이 아프다면, 이는 목을 당기면서 잘못 운동했기 때문이다. 머리를 너무 가슴 쪽으로 당기며 운동하는 것 또한 잘못된 운동 방법이다. 일반적으로 손을 목 뒤로 두는 이유는 복근에 더 많은 부하를 주고, 목을 편하게 받치기 위해서이다. 가장 많이 하는 또 하나의 실수는 호흡에 관한 것이다. 가장 많이 하는 크런치 동작을 예로 들었을 때, 동작 수행 시 상체를 올리며 호흡을 참는 경우가 있는데 이는 잘못된 방법이다. 힘이 복근에 제대로 전달되지 않을 수 있다. 상체를 올리는 동작에서 호흡을 내쉬며 근육을 짜는 듯한 느낌을 느껴야 한다. 복부 전면에서 치골까지 연결되어 있어 그 길이가 상당히 긴 복직근은 대개 몸을 앞으로 구부릴 때 작용한다고 알고 있지만 사실은 중력에 대항하여 우리의 몸통이 앞으로 구부러지지 않도록 항중력 작용 기능을 하는 아주 중요한 근육이다. 대표적인 복직근 강화 운동법에는 싯업, 크런치, 리버스 크런치, 케이블 크런치, 레그 레이즈, 행잉 레그 레이즈, V업, 시티드 니 업 등이 있다.복부 전면 옆구리 쪽에는 내복사근과 외복사근이 있다. 이들은 서로 길항 작용을 하며, 몸통이 좌우 어느 한쪽으로 틀어지지 않게 하는 항회전근의 기능을 갖고 있다. 운동법에는 오블리크 크런치, 덤벨 사이드 벤드, 리버스 트렁크 트위스트, 크로스 크런치, 러시안 트위스트 등이 있다.",,,,,복부
,,,,,,
싯업,가장 일반적으로 할 수 있는 복근 운동이다. 앉았다 누웠다를 반복하는 동작이므로 복근과 다리를 들어올리는 근육을 발달시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140450791_MGCPXBI4U.jpg/WEIGHT_083_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"트라이셉스 익스텐션 - 덤벨, 라잉",팔 뒤쪽 상완삼두근의 근력을 증가시키는 운동으로 삼두근의 안쪽 모양을 선명하게 만들어준다. 고중량보다는 자신에게 맞는 중량을 설정하여 정확한 자세로 반복적으로 실시한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140346530_6QCD25034.jpg/WEIGHT_058_pic_1.jpg?type=w492_fst&wm=N,상급,,위팔 뒤
,,,,,,
크로스 오버 - 케이블,"대흉근 중앙부와 하부 흉근 부분을 발달시키는 운동이다. 대흉근 중앙부의 선명도를 증가시키고, 각도에 따라 상부, 중부, 하부 운동으로 세분화하여 실시할 수 있다. 또한 동작 내내 지속적인 케이블의 저항이 유지되는 장점이 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140226590_75VT9SWES.jpg/WEIGHT_035_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
"벤치 프레스 - 덤벨, 디클라인",대흉근의 아랫부분을 발달시킴으로써 보다 완성도 높은 대흉근의 모양을 만들어준다. 덤벨을 이용하기 때문에 바벨로 하는 디클라인 벤치 프레스보다 더 많은 균형을 요구한다. 벤치의 각도는 30~45도가 적당하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140246559_QECDEP0H6.jpg/WEIGHT_028_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
해머 컬 - 덤벨,상완이두근을 발달시키는 운동이다. 벤치에 앉아서 실시하면 상완이두근을 좀 더 고립할 수 있다. 양팔을 동시에 운동하거나 팔을 번갈아가며 운동할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140329468_9XGQBN4VA.jpg/WEIGHT_052_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
트라이셉스 프레스 다운 - 케이블,상완삼두근 운동의 가동 범위를 최대로 활용하여 삼두근의 외측두를 발달시키는 데 효과적인 운동이다. 상완삼두근 운동 중 가장 안정적인 자세로 실시할 수 있으며 다른 상완삼두근 운동과 비교했을때 고중량에서도 안정된 자세를 유지하기에 최적의 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140352685_EB19FCM8K.jpg/WEIGHT_061_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 뒤
,,,,,,
조트맨 컬 - 덤벨,"상완이두근과 전완근의 힘을 키우는 운동이다. 이두근 힘으로 덤벨을 올리고, 상완요골근의 힘을 이용해 이완한다. 이두근과 상완요골근을 동시에 운동함으로써 운동 시간을 절약할 수 있다. 부담 없이 할 수 있어 여성에게 추천되는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140412860_TAQ48V6J8.jpg/WEIGHT_069_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
카프 프레스 - 머신,"레그 프레스 머신에서 실시하는 종아리 운동이다. 스탠딩 자세에서 하는 운동과 달리 허리의 추가적인 스트레스를 피할 수 있다는 장점이 있다. 종아리 근육에 대한 집중을 더욱 느낄 수 있고, 자신의 몸무게만큼 고중량으로 실시할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140559003_URALKPCXV.jpg/WEIGHT_112_pic_1.jpg?type=w492_fst&wm=N,초급,,종아리
,,,,,,
점프 스쿼트,하체의 체지방은 연소하고 탄력을 향상시키는 데 효과적인 운동이다. 자기 체중을 갖고 하는 근력 운동으로 하체 근력이 어느 정도 있는 경우에는 이 동작 하나로도 강한 운동 효과를 얻을 수 있다. 지속적으로 실시하면 탄력 있는 다리 라인을 만들 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111101386_LZD1L6E2V.jpg/WEIGHT_140_pic_1.jpg?type=w492_fst&wm=N,상급,,허벅지 앞
,,,,,,
프로네이션 - 덤벨,전완근을 돌리는 데(손바닥을 위로 가게 하는 데) 동원되는 근육의 힘을 발달시키며 특히 손목 부상 후 재활 시 많이 사용되는 운동이다. 팔꿈치의 각도를 90도로 유지하고 팔꿈치나 팔이 움직이지 않도록 해야 관련 근육의 발달을 최대화할 수 있다. 덤벨 슈피네이션과 함께 해주면 손목의 근육을 강화하는 데 한층 더 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140418779_XUDTGQDJZ.jpg/WEIGHT_070_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
스텝업 - 덤벨,서킷 트레이닝(circuit training)에 사용하기에 적합한 운동으로서 민첩성 및 운동 수행 능력을 향상시킬 수 있다. 유산소 운동과 대퇴의 자극을 동시에 유도할 수 있다는 장점이 있다. 초보자의 경우 체중을 이용한 스텝업 동작을 지속적으로 반복한 후 실시한다. 특히 허리 통증으로 인해 바벨 또는 덤벨 스쿼트나 데드리프트를 실시하지 못하는 경우 대체할 수 있는 하체 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140543445_G03MZYNYQ.jpg/WEIGHT_104_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 앞
,,,,,,
컬 - 밴드,상완이두근의 근력을 강화하고 크기를 키워주는 대표적인 팔 운동이다. 선 자세로 실시하기 때문에 동작 범위 전체에 걸쳐 상완이두근을 강하게 자극할 수 있다. 탄력 있는 팔 라인을 만들고 싶다면 소위 ‘팔뚝’이라고 부르는 팔 뒤쪽만이 아니라 팔 앞쪽도 함께 근력을 키워줘야 효과적이다. 밴드를 이용한 이 동작은 근력이 약한 여성들이 비교적 쉽게 탄력 있는 팔라인을 만들 수 있도록 도와준다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111254363_9X4QPHHLF.jpg/WEIGHT_148_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
슈피네이션 - 덤벨,전완근을 돌리는 데(손등을 위로 가게 하는 데) 동원되는 근육의 힘을 발달시키며 특히 손목 부상 후 재활 시 많이 사용되는 운동이다. 팔꿈치 각도를 90도로 유지하고 팔꿈치나 팔을 움직이지 않도록 해야 관련 근육의 발달을 극대화할 수 있다. 덤벨 프로네이션과 함께 해주면 손목의 근육을 강화하는 데 한층 더 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140420026_JZKZHOMWT.jpg/WEIGHT_071_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
굿모닝 - 덤벨,덤벨을 이용한 굿모닝 동작이다. 등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111210694_X9YQLSDFE.jpg/WEIGHT_145_pic_1.jpg?type=w492_fst&wm=N,중급,,허리
,,,,,,
레그 익스텐션,"허벅지 전면 근육을 발달시키는 운동이다. 여성의 경우, 적당한 무게로 횟수를 늘려 실시하면 탄력 있는 허벅지를 만드는 데 효과적이다. 또한 두 다리의 근력 수준 차이를 극복하기 위해 한 발씩 실시해도 좋은 운동이 될 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140538977_XZW7CVOVU.jpg/WEIGHT_103_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 앞
,,,,,,
컬 - 케이블,케이블의 저항이 운동 시작 지점과 끝 지점까지 지속적으로 전해져 상완이두근의 근긴장을 유지하게 함으로서 더욱 큰 운동의 효과를 볼 수 있다. 더불어 다른 상완이두근 운동에 비해 선명도를 강화시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140337969_7IAHCZ0DX.jpg/WEIGHT_055_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
굿모닝 - 바벨,등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140447365_7LPDRIPLP.jpg/WEIGHT_081_pic_1.jpg?type=w492_fst&wm=N,중급,,허리
,,,,,,
레그 컬 - 라잉,"대퇴후면의 슬굴곡근을 발달시키기 위한 운동이다. 스탠딩 레그 컬보다 많은 중량을 들 수 있는 것이 장점으로, 하체 근력이 약한 사람에게 필수적인 운동이다. 단순관절 운동인 만큼 정확한 자세를 유지하는 것이 중요하다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140547423_1C5BMWROB.jpg/WEIGHT_106_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 뒤
,,,,,,
리버스 힙 레이즈,"짐볼에 가슴을 대고 엎드려 전신의 균형을 잡고 몸이 일직선이 될 때까지 다리를 들어 올리는 동작이다. 몸의 후면 근육들을 전체적으로 자극하는 운동으로 뒷모습을 다듬는 데 도움이 된다. 벤치나 머신을 이용할 수도 있으며, 짐볼이 없을 때에는 낮은 의자나 소파 등을 이용하여 운동해도 좋다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110812996_80V0VQ10I.jpg/WEIGHT_126_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
,,,,,,
,,,,,,
"트라이셉스 익스텐션 - 덤벨, 원 암",상완삼두근 중 특히 장두 부분을 발달시키는 운동으로 중량 설정 시에는 고중량보다 저중량을 설정하여 반복횟수를 늘리는 것이 중요하다. 탄력 있는 팔을 원하는 여성에게 추천되는 운동이다. 어깨에 힘이 과도하게 들어가지 않도록 주의하여 실시한다. 벤치에 앉아서 실시하거나 또는 서서 하는 두 가지 방법 모두 가능하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140351211_1QQHC41VA.jpg/WEIGHT_060_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 뒤
,,,,,,
"트라이셉스 익스텐션 - 바벨, 라잉",팔 뒤쪽 상완삼두근의 근력을 증가시키고 삼두근의 안쪽 모양을 선명하게 만들어주는 운동이다. 상완삼두근의 전체적인 근매스 증대에 효과적이기 때문에 정확한 자세로 운동해야 한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140340399_LKQGR4CJV.jpg/WEIGHT_057_pic_1.jpg?type=w492_fst&wm=N,상급,,위팔 뒤
,,,,,,
런지 - 바벨,"대퇴 전면과 둔근을 발달시키기 위한 운동이다. 바벨 대신 덤벨을 이용해 실시할 수도 있다. 또한 다리의 위치 변화를 통해 walking lunge, side lunge등 다양하게 실시할 수 있으며 런지운동 초기엔 다리를 앞으로 내민 상태에서 지속적으로 up/down을 실시하여 균형감과 근육의 동원능력을 숙달시키는 것이 필요하다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140535683_7J194TI7J.jpg/WEIGHT_102_pic_1.jpg?type=w492_fst&wm=N,상급,,허벅지 앞
,,,,,,
리버스 힙 레이즈,"짐볼에 가슴을 대고 엎드려 전신의 균형을 잡고 몸이 일직선이 될 때까지 다리를 들어 올리는 동작이다. 몸의 후면 근육들을 전체적으로 자극하는 운동으로 뒷모습을 다듬는 데 도움이 된다. 벤치나 머신을 이용할 수도 있으며, 짐볼이 없을 때에는 낮은 의자나 소파 등을 이용하여 운동해도 좋다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110812996_80V0VQ10I.jpg/WEIGHT_126_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
,,,,,,
,,,,,,
"트라이셉스 익스텐션 - 덤벨, 원 암",상완삼두근 중 특히 장두 부분을 발달시키는 운동으로 중량 설정 시에는 고중량보다 저중량을 설정하여 반복횟수를 늘리는 것이 중요하다. 탄력 있는 팔을 원하는 여성에게 추천되는 운동이다. 어깨에 힘이 과도하게 들어가지 않도록 주의하여 실시한다. 벤치에 앉아서 실시하거나 또는 서서 하는 두 가지 방법 모두 가능하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140351211_1QQHC41VA.jpg/WEIGHT_060_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 뒤
,,,,,,
굿모닝,"상체를 숙여 인사하는 듯한 동작 때문에 ‘굿모닝’이라고 이름 붙여졌다. 맨손으로 손쉽게 따라할 수 있는 동작으로 전신 후면에 탄력적인 라인을 만들어주는 데 효과적이다. 또한 요통이 있는 경우에도 많은 도움이 되는 운동이다. 이 동작은 처음에 허리에 자극을 느끼고 이어 엉덩이, 다리 뒤쪽까지 근육이 늘어나는 것을 느끼면서 실시하는 것이 포인트다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111156977_SISV05P5B.jpg/WEIGHT_144_pic_1.jpg?type=w492_fst&wm=N,중급,,허리
,,,,,,
덩키 킥,"엉덩이를 힙업하고 탄력 있게 만드는 데 탁월한 동작이다. 스쿼트, 런지 등 엉덩이 큰 근육을 강화하는 운동 다음에 실시하면 효과를 배가시킬 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110701366_JG4JN7PAK.jpg/WEIGHT_121_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
,,,,,,
,,,,,,
래터럴 레이즈 - 덤벨,"삼각근의 선명도를 높일 수 있는 단관절 운동 중 측면 삼각근을 발달시키기 위한 운동이다. 프레스 동작과 달리 자극시키는 근육의 범위를 제한할 수 있고, 목표 부위 수축에 집중할 수 있다는 장점이 있다. 낮은 저항에 반응하는 근섬유들을 자극하기 위해 저중량, 고반복으로 실시한다. 동작 간 항상 팔꿈치가 손목보다 높게 유지되어야 측면 삼각근의 동원을 최대화할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140314682_ZPHJ2KRDY.jpg/WEIGHT_043_pic_1.jpg?type=w492_fst&wm=N,초급,,어깨
,,,,,,
"로우 - 밴드, 시티드","등의 근력을 키우고 군살을 없애는 데 효과적인 운동법이다. 밴드를 당길 때는 단순하게 팔로만 당기는 느낌이 아니라 등을 접어 준다는 느낌으로 당겨주어야 효과적이다. 헬스클럽에서 머신을 이용한 시티드 케이블 로우와 같은 운동 효과를 가져다주는데, 밴드를 이용해 언제 어디서나 간편하게 실시할 수 있다는 장점이 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111243514_1EQGM40U0.jpg/WEIGHT_147_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
레그 프레스,대퇴사두근과 둔근을 강화시켜주는 대표적이고 필수적인 하체 운동이다. 초보자가 실시하기에 가장 적당한 하체 운동이며 스쿼트에 비해 허리에 가해지는 부하가 적어 비교적 무거운 무게로 운동을 할 수 있는 장점이 있다. 또한 발판의 지지 위치에 변화를 줄 경우 좀 더 집중적인 근력 향상을 꾀할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140534111_D7ZJZGES5.jpg/WEIGHT_101_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 앞
,,,,,,
프런트 레이즈 - 덤벨,"삼각근의 선명도를 높일 수 있는 단관절 운동 중 전면 삼각근을 발달시키기 위한 운동이다. 프레스 동작과 달리 자극시키는 근육의 범위를 제한할 수 있고, 목표 부위의 수축에 집중할 수 있다는 장점이 있다. 낮은 저항에 반응하는 근섬유들을 자극하기 위해 저중량, 고반복으로 실시한다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140227994_QVEW30R1E.jpg/WEIGHT_042_pic_1.jpg?type=w492_fst&wm=N,초급,,어깨
,,,,,,
,,,,,,
,,,,,,
니 푸시업,여성들이 집에서도 쉽게 할 수 있는 운동이다. 여성 운동 초보자가 안전하면서도 효과적으로 상체 균형 조절능력과 협응능력을 향상시킬 수 있도록 도와준다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140225266_LOZHVCOG4.jpg/WEIGHT_034_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
